"ind","polar","class1","class2"
18,-1,"汪淼","史强"
19,1,"汪淼","常伟思"
36,-1,"汪淼","史强"
42,-1,"汪淼","史强"
45,-1,"汪淼","史强"
45,-1,"汪淼","常伟思"
45,-1,"史强","常伟思"
46,-1,"汪淼","史强"
47,-1,"汪淼","史强"
48,-1,"史强","常伟思"
51,-1,"汪淼","史强"
51,-1,"汪淼","常伟思"
51,-1,"史强","常伟思"
54,1,"史强","常伟思"
65,-1,"汪淼","史强"
75,1,"汪淼","杨冬"
82,-1,"汪淼","史强"
83,1,"汪淼","史强"
87,1,"汪淼","杨冬"
87,1,"汪淼","丁仪"
87,1,"杨冬","丁仪"
88,-1,"汪淼","史强"
88,-1,"汪淼","杨冬"
88,-1,"汪淼","丁仪"
88,-1,"史强","杨冬"
88,-1,"史强","丁仪"
88,-1,"杨冬","丁仪"
95,1,"汪淼","常伟思"
97,-1,"史强","常伟思"
99,1,"汪淼","史强"
99,1,"汪淼","丁仪"
99,1,"汪淼","申玉菲"
99,1,"史强","丁仪"
99,1,"史强","申玉菲"
99,1,"丁仪","申玉菲"
104,-1,"汪淼","史强"
104,-1,"汪淼","常伟思"
104,-1,"史强","常伟思"
112,1,"汪淼","史强"
117,1,"汪淼","史强"
120,-1,"史强","常伟思"
127,1,"汪淼","史强"
127,1,"汪淼","常伟思"
127,1,"史强","常伟思"
145,1,"汪淼","丁仪"
146,-1,"汪淼","丁仪"
149,-1,"汪淼","杨冬"
149,-1,"汪淼","丁仪"
149,-1,"杨冬","丁仪"
151,-1,"汪淼","丁仪"
153,-1,"汪淼","杨冬"
153,-1,"汪淼","丁仪"
153,-1,"杨冬","丁仪"
162,-1,"汪淼","丁仪"
176,1,"汪淼","丁仪"
179,-1,"汪淼","丁仪"
184,1,"汪淼","丁仪"
193,-1,"汪淼","杨冬"
193,-1,"汪淼","丁仪"
193,-1,"杨冬","丁仪"
252,-1,"汪淼","豆豆"
260,1,"丁仪","申玉菲"
261,-1,"汪淼","申玉菲"
263,-1,"汪淼","申玉菲"
266,1,"汪淼","申玉菲"
267,1,"汪淼","魏成"
267,1,"汪淼","申玉菲"
267,1,"魏成","申玉菲"
268,-1,"汪淼","魏成"
269,-1,"汪淼","魏成"
271,-1,"汪淼","申玉菲"
285,1,"汪淼","申玉菲"
288,-1,"汪淼","申玉菲"
296,-1,"汪淼","潘寒"
296,-1,"汪淼","申玉菲"
296,-1,"潘寒","申玉菲"
307,-1,"汪淼","我的主"
323,1,"李瑶","豆豆"
348,-1,"汪淼","申玉菲"
359,-1,"汪淼","申玉菲"
382,-1,"汪淼","申玉菲"
392,1,"周文王","追随者"
392,1,"周文王","纣王"
392,1,"追随者","纣王"
394,1,"汪淼","周文王"
395,-1,"周文王","追随者"
400,-1,"汪淼","周文王"
400,-1,"汪淼","追随者"
400,-1,"周文王","追随者"
401,-1,"汪淼","追随者"
412,-1,"周文王","追随者"
415,1,"汪淼","周文王"
415,1,"汪淼","追随者"
415,1,"周文王","追随者"
424,1,"汪淼","周文王"
424,1,"汪淼","追随者"
424,1,"周文王","追随者"
425,-1,"汪淼","追随者"
438,-1,"汪淼","周文王"
438,-1,"汪淼","追随者"
438,-1,"周文王","追随者"
458,-1,"汪淼","周文王"
466,-1,"汪淼","周文王"
466,-1,"汪淼","纣王"
466,-1,"周文王","纣王"
467,-1,"汪淼","周文王"
467,-1,"汪淼","纣王"
467,-1,"周文王","纣王"
468,-1,"汪淼","纣王"
469,-1,"汪淼","周文王"
469,-1,"汪淼","纣王"
469,-1,"汪淼","伏羲"
469,-1,"周文王","纣王"
469,-1,"周文王","伏羲"
469,-1,"纣王","伏羲"
471,-1,"汪淼","纣王"
471,-1,"汪淼","伏羲"
471,-1,"纣王","伏羲"
480,1,"汪淼","周文王"
481,1,"周文王","纣王"
485,1,"汪淼","周文王"
486,1,"汪淼","周文王"
496,-1,"周文王","纣王"
500,-1,"汪淼","周文王"
500,-1,"汪淼","纣王"
500,-1,"周文王","纣王"
505,-1,"汪淼","周文王"
505,-1,"汪淼","追随者"
505,-1,"周文王","追随者"
513,-1,"汪淼","杨冬"
513,-1,"汪淼","丁仪"
513,-1,"杨冬","丁仪"
528,1,"汪淼","杨冬"
528,1,"汪淼","叶文洁"
528,1,"杨冬","叶文洁"
532,-1,"汪淼","叶文洁"
533,1,"汪淼","杨冬"
534,-1,"汪淼","杨冬"
535,-1,"汪淼","杨冬"
537,-1,"汪淼","杨冬"
539,1,"汪淼","杨冬"
539,1,"汪淼","叶文洁"
539,1,"杨冬","叶文洁"
547,-1,"汪淼","叶文洁"
550,-1,"汪淼","叶文洁"
551,-1,"汪淼","叶文洁"
555,1,"汪淼","叶文洁"
558,1,"汪淼","杨冬"
564,-1,"汪淼","沙瑞山"
570,-1,"汪淼","沙瑞山"
575,-1,"汪淼","叶文洁"
607,1,"红卫兵","叶哲泰"
607,1,"红卫兵","绍琳"
607,1,"叶哲泰","绍琳"
608,-1,"叶哲泰","绍琳"
617,-1,"红卫兵","叶哲泰"
618,-1,"红卫兵","叶哲泰"
619,-1,"红卫兵","叶哲泰"
619,-1,"红卫兵","绍琳"
619,-1,"叶哲泰","绍琳"
620,-1,"叶哲泰","绍琳"
622,-1,"叶哲泰","绍琳"
627,1,"红卫兵","叶哲泰"
627,1,"红卫兵","绍琳"
627,1,"叶哲泰","绍琳"
635,-1,"红卫兵","叶哲泰"
647,1,"红卫兵","叶哲泰"
662,1,"叶文洁","白沐霖"
670,-1,"马钢","叶文洁"
672,1,"叶文洁","白沐霖"
674,-1,"叶文洁","白沐霖"
689,1,"叶文洁","白沐霖"
707,1,"叶文洁","白沐霖"
709,-1,"叶文洁","白沐霖"
711,1,"叶文洁","白沐霖"
726,-1,"叶文洁","白沐霖"
734,1,"叶文洁","白沐霖"
746,1,"叶文洁","程丽华"
747,-1,"叶文洁","程丽华"
753,-1,"红卫兵","叶文洁"
753,-1,"红卫兵","叶文雪"
753,-1,"叶文洁","叶文雪"
767,1,"叶文洁","程丽华"
770,1,"叶文洁","叶文雪"
772,1,"叶文洁","绍琳"
772,1,"叶文洁","白沐霖"
772,1,"绍琳","白沐霖"
784,1,"杨卫宁","雷志成"
785,1,"叶文洁","叶哲泰"
785,1,"叶文洁","杨卫宁"
785,1,"叶哲泰","杨卫宁"
787,1,"叶文洁","杨卫宁"
797,-1,"叶文洁","杨卫宁"
797,-1,"叶文洁","雷志成"
797,-1,"杨卫宁","雷志成"
800,1,"叶文洁","杨卫宁"
800,1,"叶文洁","雷志成"
800,1,"杨卫宁","雷志成"
802,-1,"叶文洁","杨卫宁"
802,-1,"叶文洁","雷志成"
802,-1,"杨卫宁","雷志成"
803,-1,"叶文洁","程丽华"
803,-1,"叶文洁","杨卫宁"
803,-1,"程丽华","杨卫宁"
809,-1,"叶文洁","杨卫宁"
810,1,"叶文洁","杨卫宁"
812,1,"叶文洁","杨卫宁"
817,1,"叶文洁","杨卫宁"
855,1,"汪淼","沙瑞山"
858,-1,"汪淼","沙瑞山"
864,-1,"汪淼","沙瑞山"
865,-1,"汪淼","沙瑞山"
869,1,"汪淼","沙瑞山"
882,1,"汪淼","沙瑞山"
901,-1,"汪淼","东方延绪"
906,-1,"汪淼","史强"
908,-1,"汪淼","史强"
909,1,"汪淼","史强"
917,-1,"汪淼","史强"
924,1,"汪淼","史强"
946,1,"汪淼","史强"
955,-1,"汪淼","史强"
955,-1,"汪淼","常伟思"
955,-1,"史强","常伟思"
997,1,"汪淼","史强"
1001,-1,"汪淼","纣王"
1004,1,"汪淼","周文王"
1007,1,"周文王","墨子"
1009,1,"汪淼","墨子"
1013,1,"汪淼","墨子"
1026,-1,"汪淼","墨子"
1052,1,"汪淼","墨子"
1061,1,"汪淼","墨子"
1066,1,"汪淼","墨子"
1071,1,"汪淼","墨子"
1072,1,"汪淼","墨子"
1082,-1,"汪淼","墨子"
1089,-1,"汪淼","杨冬"
1089,-1,"汪淼","叶文洁"
1089,-1,"杨冬","叶文洁"
1090,1,"汪淼","叶文洁"
1094,1,"汪淼","叶文洁"
1094,1,"汪淼","沙瑞山"
1094,1,"叶文洁","沙瑞山"
1095,1,"汪淼","史强"
1102,1,"汪淼","叶文洁"
1117,1,"叶文洁","杨卫宁"
1117,1,"叶文洁","雷志成"
1117,1,"杨卫宁","雷志成"
1118,1,"叶文洁","雷志成"
1124,-1,"叶文洁","雷志成"
1131,-1,"叶文洁","杨卫宁"
1131,-1,"叶文洁","雷志成"
1131,-1,"杨卫宁","雷志成"
1133,1,"叶文洁","杨卫宁"
1133,1,"叶文洁","雷志成"
1133,1,"杨卫宁","雷志成"
1139,-1,"叶文洁","雷志成"
1140,-1,"杨卫宁","雷志成"
1144,1,"杨卫宁","雷志成"
1146,1,"叶文洁","杨卫宁"
1146,1,"叶文洁","雷志成"
1146,1,"杨卫宁","雷志成"
1147,-1,"叶文洁","雷志成"
1148,1,"叶文洁","雷志成"
1149,-1,"叶文洁","杨卫宁"
1149,-1,"叶文洁","雷志成"
1149,-1,"杨卫宁","雷志成"
1153,1,"叶文洁","杨卫宁"
1156,-1,"叶文洁","雷志成"
1157,1,"叶文洁","杨卫宁"
1162,1,"叶文洁","杨卫宁"
1164,-1,"叶文洁","杨卫宁"
1164,-1,"叶文洁","雷志成"
1164,-1,"杨卫宁","雷志成"
1167,-1,"汪淼","叶文洁"
1252,1,"汪淼","叶文洁"
1273,-1,"汪淼","杨冬"
1273,-1,"汪淼","叶文洁"
1273,-1,"汪淼","沙瑞山"
1273,-1,"汪淼","杨卫宁"
1273,-1,"汪淼","雷志成"
1273,-1,"杨冬","叶文洁"
1273,-1,"杨冬","沙瑞山"
1273,-1,"杨冬","杨卫宁"
1273,-1,"杨冬","雷志成"
1273,-1,"叶文洁","沙瑞山"
1273,-1,"叶文洁","杨卫宁"
1273,-1,"叶文洁","雷志成"
1273,-1,"沙瑞山","杨卫宁"
1273,-1,"沙瑞山","雷志成"
1273,-1,"杨卫宁","雷志成"
1278,-1,"汪淼","叶文洁"
1281,-1,"汪淼","叶文洁"
1283,1,"汪淼","东方延绪"
1283,1,"汪淼","纣王"
1283,1,"汪淼","墨子"
1283,1,"东方延绪","纣王"
1283,1,"东方延绪","墨子"
1283,1,"纣王","墨子"
1288,1,"东方延绪","亚里士多德"
1290,1,"汪淼","东方延绪"
1292,1,"伽利略","亚里士多德"
1294,1,"东方延绪","墨子"
1294,1,"东方延绪","伽利略"
1294,1,"墨子","伽利略"
1319,1,"汪淼","纣王"
1320,1,"伽利略","达·芬奇"
1327,1,"汪淼","达·芬奇"
1333,1,"汪淼","伽利略"
1333,1,"汪淼","亚里士多德"
1333,1,"汪淼","达·芬奇"
1333,1,"伽利略","亚里士多德"
1333,1,"伽利略","达·芬奇"
1333,1,"亚里士多德","达·芬奇"
1342,-1,"汪淼","史强"
1343,-1,"汪淼","史强"
1343,-1,"汪淼","徐冰冰"
1343,-1,"汪淼","魏成"
1343,-1,"汪淼","申玉菲"
1343,-1,"史强","徐冰冰"
1343,-1,"史强","魏成"
1343,-1,"史强","申玉菲"
1343,-1,"徐冰冰","魏成"
1343,-1,"徐冰冰","申玉菲"
1343,-1,"魏成","申玉菲"
1344,-1,"汪淼","史强"
1344,-1,"汪淼","魏成"
1344,-1,"史强","魏成"
1347,-1,"徐冰冰","魏成"
1427,-1,"史强","魏成"
1430,-1,"史强","魏成"
1432,-1,"汪淼","史强"
1432,-1,"汪淼","徐冰冰"
1432,-1,"史强","徐冰冰"
1433,-1,"汪淼","史强"
1433,-1,"汪淼","魏成"
1433,-1,"史强","魏成"
1439,-1,"汪淼","徐冰冰"
1446,1,"汪淼","史强"
1448,-1,"汪淼","史强"
1448,-1,"汪淼","魏成"
1448,-1,"汪淼","申玉菲"
1448,-1,"史强","魏成"
1448,-1,"史强","申玉菲"
1448,-1,"魏成","申玉菲"
1449,-1,"汪淼","史强"
1449,-1,"汪淼","徐冰冰"
