证券代码,总资产报酬率,净资产收益率,销售毛利率,销售净利率,流动比率,速动比率,资产负债率,总资产同比增长率,净资产同比增长率,存货周转率,周涨跌幅,均价,振幅,换手率,成交量,最高价,最低价,开盘价,收盘价
831305,19.12,18,51.46,31.61,14,10.91,8.17,24.74,33.7,1.17,-4.35,26.3072,2.618,1.648,292824.2,26.76,26.058,26.664,26.294
837212,15.03,16.9,24.62,13.78,4.5,3.82,19.27,0,0,5.54,-6.45,16.7206,4.676,1.804,471847,17.208,16.416,16.958,16.714
831726,14.69,13.98,38.83,22.18,5.42,3.69,14.88,0,0,1.1,-3.76,13.4634,3.444,1.428,293450.8,13.752,13.28,13.57,13.462
836826,14.58,15.59,20.67,12.5,5.12,4.04,15.8,0,0,5.02,-4.88,11.051,5.056,2.932,930529.4,11.368,10.802,11.252,11.076
838275,14.57,13.46,46.99,31.43,17.64,16.38,4.52,41.62,41.61,3.95,-1.83,6.388,2.458,0.698,316940.2,6.482,6.324,6.454,6.388
836077,14.38,32.34,41.06,24.75,0.46,0.27,64.45,0,0,1.94,0.9,58.7426,7.236,1.85,1676752.8,60.776,56.54,58.726,58.596
835174,14.2,19.1,32.24,15.38,2.76,2.41,31.86,47.5,58.46,4.93,-10.22,20.4952,8.084,1.832,485850,21.538,19.852,20.786,20.306
430510,13.56,12.41,37.39,20.42,4.07,2.99,11.77,0,0,3.07,-5.37,16.9542,4.584,0.552,221178.8,17.446,16.656,17.07,16.922
831445,13.05,13.32,32.85,21.04,4.66,3.68,14.22,3.16,2.2,3.62,-4.38,25.0888,4.376,0.432,290174.6,25.722,24.612,25.32,25.182
872925,12.06,13.75,37.99,12.54,2.6,1.49,20.4,0,0,2.41,4.64,22.1132,4.43,1.794,265313.6,22.572,21.602,21.862,22.054
835185,11.74,16.24,27.34,16.27,1.73,1.2,43.83,33.35,21.8,2.91,1.77,152.353,7.682,0.778,1134138.8,158.326,146.648,152.48,153.572
836239,11.63,26.35,24.93,13.38,0.98,0.75,66.83,0,0,4.29,1.43,135.644,5.534,1.432,441096.4,139.838,132.366,136.03,135.922
833523,11.23,11.82,35.88,22.21,4.8,4.23,14.42,90.95,98.7,3.19,-3.09,30.65,3.954,2.714,995758.2,31.338,30.116,30.878,30.674
839680,10.97,10.94,46.27,18.46,4.63,3.91,19.81,0,0,2.58,-4.3,19.8666,2.218,1.102,443590.8,20.184,19.736,20.064,19.844
833509,10.69,10.99,56.37,30.33,6.95,5.17,9.44,106.96,121.73,1.08,-0.72,15.1378,2.684,0.774,273010,15.344,14.938,15.208,15.116
839167,10.62,13.84,12.72,6.92,2.44,2.29,36.41,11.14,18.32,16.05,-3.7,20.7738,5.55,0.588,348014.2,21.35,20.172,21.068,20.906
832566,10.44,11.2,80.8,18.1,8.58,7.82,15.42,57.38,74.56,1.48,-2.04,16.5034,2.876,0.468,179275.2,16.762,16.284,16.538,16.464
832735,10.24,11.14,77.82,14.69,5.22,4.79,17.89,92.98,110.07,1.91,-2.46,21.5624,1.526,0.52,97510,21.772,21.44,21.644,21.552
830946,9.99,10.29,46.35,26.1,6.67,5.32,8.6,4.79,6.68,1.79,-5.19,7.1458,3.866,2.294,1863353.4,7.296,7.016,7.202,7.114
839729,9.34,10.67,68.31,25.72,5.2,4.75,13.29,3.37,2.86,2.12,-4.1,14.4598,2.486,0.25,200145.6,14.72,14.358,14.694,14.458
430418,9.1,9.29,29.7,12.09,3.78,2.8,15.59,13.72,9.79,3.73,-1.89,14.4186,2.482,0.352,140682.6,14.642,14.282,14.442,14.416
837092,8.47,13.11,31.77,20.71,1.87,1.85,46.03,0,0,20.06,-5.26,27.715,2.724,2.316,257883.8,28.192,27.428,27.864,27.594
836675,8.45,9.49,33.66,20.99,3.35,2.35,22.15,0,0,1.28,-3.09,8.7918,2.396,0.848,388885.6,8.916,8.704,8.794,8.78
835640,8.43,12.47,40.21,17.48,1.98,1.73,39.94,13.73,13.93,2.87,-0.9,21.7182,3.428,0.23,383142.8,22.164,21.418,21.756,21.692
838163,8.36,8.16,20.91,11.32,6.01,4.08,13.1,3.32,2.49,2.55,-6.09,7.7126,2.684,0.566,186325.6,7.844,7.634,7.792,7.678
871553,8.31,6.64,40.34,10.09,3.79,3.23,15.78,0,0,5.14,-8.16,5.272,3.898,0.63,393541.2,5.42,5.208,5.366,5.248
834599,8.28,18.28,18.18,8.94,1.46,1.28,61.97,0,0,5.8,-1.72,8.945,3.632,0.48,1034737.8,9.14,8.814,9.018,8.966
837242,8.06,7.72,23.09,9.11,3.62,2.94,25.51,9.12,1.69,3.43,-4.68,12.067,2.504,0.634,153554.6,12.254,11.948,12.212,12.058
832089,8.06,10.44,16.6,9,2.84,2.32,30.57,0,0,4.07,-7.07,13.4846,2.83,1.252,559247.8,13.724,13.33,13.698,13.42
832278,7.73,9.03,24.19,11.96,3.36,2.68,25.96,13.06,6.46,2.81,-1.22,9.6178,2.79,0.25,141907.6,9.754,9.484,9.604,9.638
871642,7.62,9.05,62.51,26.85,2.15,1.82,29.97,0,0,1.18,-3.86,15.9978,2.898,0.584,193338.2,16.266,15.798,16.182,15.986
830839,7.43,7.87,26.6,13.26,3.78,2.48,18.26,44.36,51.32,2.06,-6.79,8.2636,2.638,1.77,527026,8.394,8.172,8.322,8.214
830832,7.43,8.66,27.29,11.9,3.64,2.92,18.98,0,0,2.68,-5.46,7.931,3.034,0.348,380899.4,8.088,7.842,8.038,7.95
832000,7.04,7.46,24.78,12.27,3.84,2.28,23.17,0,0,2.04,-4.76,8.1932,3.772,0.998,339361.4,8.398,8.086,8.344,8.176
871396,7.04,9.26,36.8,12.83,3.01,2.41,33.9,0,0,1.77,-2.33,12.3682,3.176,0.29,76557.2,12.568,12.172,12.456,12.358
832225,7.03,8.48,27.57,11.57,1.95,1.18,30.38,0,0,1.97,-1.58,8.6468,3.07,0.514,213119.6,8.764,8.498,8.66,8.624
430489,6.82,9.56,24.63,13.38,2.39,2.09,34.88,20.36,11.23,9.01,-10.34,13.9916,3.176,1.498,783996,14.29,13.838,14.148,13.866
832885,6.8,8.16,50.32,24.42,4.82,4.2,19.35,0,0,1.1,-6.09,22.0408,2.956,0.824,227031.2,22.43,21.772,22.15,21.878
839946,6.73,9.81,20,11.8,2.63,2.33,29.35,13.43,92.79,4.08,-7,5.7812,3.998,1.154,570692.8,5.932,5.696,5.876,5.77
830799,6.53,9.02,35.66,11.02,2.05,1.92,43.53,48.44,-4.87,8.51,0.53,14.9908,5.18,0.954,339944.4,15.362,14.582,15.004,14.998
