代码,名称,时间,每股收益,每股净资产,净资产收益率,资产负债率,流动比率,总资产周转率,yield
000001.SZ,平安银行,2018/3/31,0.33,11.9,2.96,93.3,0,0.00851,-16.6
000002.SZ,万科A,2018/3/31,0.081,12.3,0.666,84,1.21,0.0258,-26.1
000004.SZ,国华网安,2018/3/31,0.0245,1.57,1.58,32.8,2.16,0.261,-14.2
000005.SZ,ST星源,2018/3/31,0.0153,1.26,1.21,50.7,0.904,0.0525,-23.3
000006.SZ,深振业A,2018/3/31,0.212,4.34,5.01,46.2,2.13,0.04,-18.1
000007.SZ,*ST全新,2018/3/31,-0.02,1.09,-2.02,10.9,3.83,0.0245,-6.56
000008.SZ,神州高铁,2018/3/31,0.0037,2.53,0.148,27.4,2.1,0.0203,-26.8
000009.SZ,中国宝安,2018/3/31,0.0164,2.33,0.704,63.5,1.64,0.0745,-19.3
000010.SZ,美丽生态,2018/3/31,-0.0568,1.35,-4.12,60.8,1.58,0.027,-13.3
000011.SZ,深物业A,2018/3/31,0.0897,5,1.81,39.9,2.12,0.105,-28.9
000012.SZ,南玻A,2018/3/31,0.07,3.49,1.86,54.2,0.694,0.134,-23.8
000014.SZ,沙河股份,2018/3/31,0.0156,3.69,0.423,49.3,2.03,0.0435,24.7
000016.SZ,深康佳A,2018/3/31,0.0232,3.35,0.695,64.6,1.27,0.33,-22.6
000017.SZ,深中华A,2018/3/31,4.00E-04,0.0293,1.45,77.1,1.19,0.315,-18.6
000019.SZ,深粮控股,2018/3/31,-0.0218,1.88,-1.15,8.41,6.85,0.0545,-20.3
000020.SZ,深华发A,2018/3/31,0.0011,1.13,0.0958,46.5,1.15,0.279,-6.11
000021.SZ,深科技,2018/3/31,0.0581,3.98,1.46,61.3,1.09,0.251,-21.4
000023.SZ,深天地A,2018/3/31,-0.0351,2.94,-1.19,74.5,1.19,0.137,-27.8
000025.SZ,特力A,2018/3/31,0.0542,3.29,1.66,28,1.32,0.0655,-13.8
000026.SZ,飞亚达,2018/3/31,0.136,5.76,2.38,31.1,2.4,0.235,-19.1
000027.SZ,深圳能源,2018/3/31,0.0153,5.32,0.286,68.6,0.723,0.047,-14
000028.SZ,国药一致,2018/3/31,0.68,22.6,3.07,56.8,1.49,0.445,-15.6
000029.SZ,深深房A,2018/3/31,-0.0059,2.79,-0.212,35.4,2.35,0.0366,0
000030.SZ,富奥股份,2018/3/31,0.18,4.63,3.91,37.9,1.69,0.164,3.78
000031.SZ,大悦城,2018/3/31,0.14,3.81,3.81,85.2,1.43,0.0279,-27.8
000032.SZ,深桑达A,2018/3/31,0.0604,3.04,1.85,31.9,2.49,0.187,-24.9
000034.SZ,神州数码,2018/3/31,0.17,5.27,3.28,84.9,0.961,0.67,-25.9
000035.SZ,中国天楹,2018/3/31,0.0171,2.25,0.762,61,0.829,0.0365,0
000036.SZ,华联控股,2018/3/31,0.0923,3.95,2.36,47.5,2.52,0.0488,-24.2
000037.SZ,深南电A,2018/3/31,-0.02,3.23,-0.559,36.7,1.45,0.133,-15.4
000038.SZ,深大通,2018/3/31,0.0994,10.4,0.959,4.98,12.1,0.0788,-1.66E-07
000039.SZ,中集集团,2018/3/31,0.141,10.3,1.36,67.9,1.15,0.144,-20.6
000040.SZ,东旭蓝天,2018/3/31,0.811,9.4,9.02,53.4,2.58,0.0382,-14.2
000042.SZ,中洲控股,2018/3/31,0.401,10,4.08,84,1.55,0.0345,-4.4
000045.SZ,深纺织A,2018/3/31,0.011,4.7,0.234,15.5,5.76,0.0529,-21.6
000046.SZ,泛海控股,2018/3/31,0.292,4.09,7.35,85.7,1.36,0.0147,-28.2
000048.SZ,京基智农,2018/3/31,0.0058,2.59,0.284,68.8,1.52,0.102,-8.33
000049.SZ,德赛电池,2018/3/31,0.371,7.21,5.27,68,1.2,0.437,-16.8
000050.SZ,深天马A,2018/3/31,0.24,12.4,1.94,57.2,0.779,0.147,-11.6
000055.SZ,方大集团,2018/3/31,0.08,2.81,2.99,56,1.51,0.0856,-21.3
000056.SZ,皇庭国际,2018/3/31,0.05,4.56,1,58.6,1.99,0.0156,-21
000058.SZ,深赛格,2018/3/31,0.0507,1.59,3.22,61,1.4,0.0576,-22
000059.SZ,华锦股份,2018/3/31,0.194,7.81,2.52,57.8,0.777,0.263,-23.8
000060.SZ,中金岭南,2018/3/31,0.13,4.29,3.07,44.8,1.29,0.252,-20.1
000061.SZ,农产品,2018/3/31,0.0018,2.84,0.0638,66.5,0.541,0.028,-24.8
000062.SZ,深圳华强,2018/3/31,0.187,5.95,3.18,46.1,1.46,0.25,1.38
000063.SZ,中兴通讯,2018/3/31,-1.29,5.93,-16.9,73.2,1.12,0.195,-56.8
000065.SZ,北方国际,2018/3/31,0.14,7.24,1.9,63.4,1.48,0.185,-34.6
000066.SZ,中国长城,2018/3/31,0.051,2.22,2.3,48.2,1.62,0.131,-13.3
000068.SZ,华控赛格,2018/3/31,-0.0145,0.638,-2.25,59,0.646,0.0142,-32
000069.SZ,华侨城A,2018/3/31,0.137,6.56,2.12,71.5,1.87,0.0278,-12.3
000070.SZ,特发信息,2018/3/31,0.081,3.24,2.53,60.8,1.31,0.198,-23.4
000078.SZ,海王生物,2018/3/31,0.0577,2.14,2.73,80.1,1.14,0.285,-21
000088.SZ,盐田港,2018/3/31,0.03,3.25,0.9,24.2,2.87,0.00964,-9.73
000089.SZ,深圳机场,2018/3/31,0.0769,5.52,1.4,15,2.07,0.0641,-8.27
000090.SZ,天健集团,2018/3/31,0.0453,5.43,0.832,76.2,1.66,0.0375,-21.8
000096.SZ,广聚能源,2018/3/31,0.0266,4.53,0.588,5.5,12.5,0.15,-11.2
000099.SZ,中信海直,2018/3/31,0.0241,4.89,0.494,43.5,2.29,0.0512,-26.1
000100.SZ,TCL科技,2018/3/31,0.054,2.3,2.4,64.9,1.11,0.159,-13.7
000150.SZ,宜华健康,2018/3/31,0.225,5.31,4.32,67.4,0.731,0.0749,-4.88
000151.SZ,中成股份,2018/3/31,0.0413,3.39,1.23,56.7,1.46,0.31,-31.6
000153.SZ,丰原药业,2018/3/31,0.0361,3.84,0.938,56.7,1.02,0.255,-24.2
000155.SZ,川能动力,2018/3/31,0.06,2.43,2.32,47.6,2.83,0.202,-21.3
000156.SZ,华数传媒,2018/3/31,0.108,7.34,1.49,27,3.32,0.0532,-15.4
000157.SZ,中联重科,2018/3/31,0.05,4.88,0.996,54.8,2.51,0.0754,-2.38
000158.SZ,常山北明,2018/3/31,-0.0131,3.62,-0.362,52.8,1.41,0.142,-14.5
000159.SZ,国际实业,2018/3/31,-0.0303,4.28,-0.703,27.9,2.4,0.0653,-20
000166.SZ,申万宏源,2018/3/31,0.05,3.02,1.61,78.6,0,0.0092,-11.1
000301.SZ,东方盛虹,2018/3/31,0.027,2.97,0.92,17.1,5.1,0.0472,-5.33
000333.SZ,美的集团,2018/3/31,0.8,12,6.87,65.2,1.47,0.281,-2.03
000338.SZ,潍柴动力,2018/3/31,0.24,4.65,5.3,70.2,1.3,0.203,5.93
000400.SZ,许继电气,2018/3/31,0.0275,7.54,0.365,43.8,1.95,0.06,-30.9
000401.SZ,冀东水泥,2018/3/31,-0.361,6.99,-4.99,73.4,0.459,0.0493,-38.3
000402.SZ,金融街,2018/3/31,0.18,10.1,1.84,74.5,3.08,0.0266,-15.1
000403.SZ,派林生物,2018/3/31,0.1,2.14,4.89,57.1,1.02,0.165,-2.92
000404.SZ,长虹华意,2018/3/31,0.0187,4.55,0.413,59.3,1.35,0.232,-24.6
000407.SZ,胜利股份,2018/3/31,0.04,2.51,1.5,53.6,0.687,0.191,-30.4
000408.SZ,藏格控股,2018/3/31,0.0422,3.32,1.28,15.6,3.23,0.0336,-12.9
000409.SZ,云鼎科技,2018/3/31,-0.16,1.24,-12.1,83.8,0.55,0.056,-44.2
000410.SZ,ST沈机,2018/3/31,0.02,1.15,1.47,94.9,0.932,0.079,-29.9
000411.SZ,英特集团,2018/3/31,0.111,4.16,2.71,80.1,1.17,0.543,-43.6
000413.SZ,东旭光电,2018/3/31,0.07,5.47,1.36,52.8,2.18,0.0684,-21.7
000415.SZ,渤海租赁,2018/3/31,0.0877,5.03,1.73,88,0.936,0.025,0
000416.SZ,民生控股,2018/3/31,0.0062,1.65,0.377,3.77,22.4,0.0174,-20.3
000417.SZ,合肥百货,2018/3/31,0.146,4.84,3.05,56.4,1.09,0.318,-19.8
000419.SZ,通程控股,2018/3/31,0.0774,3.77,2.07,45.1,1.24,0.259,-13.5
000420.SZ,吉林化纤,2018/3/31,0.0053,1.42,0.372,58.3,0.468,0.0899,-11
000421.SZ,南京公用,2018/3/31,0.102,4.39,2.34,68.1,0.79,0.0918,-8.78
000422.SZ,湖北宜化,2018/3/31,-0.461,-0.859,-91.3,96.3,0.288,0.0749,-33.2
000423.SZ,东阿阿胶,2018/3/31,0.932,16,6,17.8,4.52,0.135,-12.7
000425.SZ,徐工机械,2018/3/31,0.07,3.12,2.14,53.7,1.65,0.21,9.76
000426.SZ,兴业矿业,2018/3/31,0.0635,2.94,2.18,40.3,0.453,0.0456,-26.4
000428.SZ,华天酒店,2018/3/31,-0.07,2.88,-2.49,66,0.638,0.0291,-27.7
000429.SZ,粤高速A,2018/3/31,0.16,4.48,3.72,41.6,1.1,0.0445,-3.71
000430.SZ,张家界,2018/3/31,-0.0464,3.8,-0.962,33.5,0.33,0.0243,-22
000488.SZ,晨鸣纸业,2018/3/31,0.31,9.65,2.77,71.9,0.816,0.0681,-26
000498.SZ,山东路桥,2018/3/31,0.0288,3.61,0.801,77.5,1.3,0.111,-30.2
000501.SZ,鄂武商A,2018/3/31,0.38,9.73,3.88,61.6,0.491,0.258,-19.3
000502.SZ,*ST绿景,2018/3/31,-0.0529,0.645,-7.88,73,0.508,0.00887,-19.8
000503.SZ,国新健康,2018/3/31,-0.0652,1.48,-4.28,3.07,20.7,0.00865,-19.4
000504.SZ,南华生物,2018/3/31,-0.0233,0.0557,-34.6,66.5,0.841,0.0417,-9.58
000505.SZ,京粮控股,2018/3/31,0.05,3.11,1.47,54.4,1.2,0.315,-28.6
000506.SZ,中润资源,2018/3/31,-0.0498,1.02,-4.74,60.1,1.04,0.0388,-28.1
000507.SZ,珠海港,2018/3/31,0.0264,3.5,0.756,50.3,1.05,0.0632,3.74
000509.SZ,*ST华塑,2018/3/31,-0.0054,0.0526,-9.84,88.1,0.855,2.09,-26.5
000510.SZ,新金路,2018/3/31,0.0369,1.44,2.6,38.6,0.833,0.288,-30.7
000513.SZ,丽珠集团,2018/3/31,0.63,20,3.18,28.9,2.6,0.148,-18.8
000514.SZ,渝开发,2018/3/31,0.0056,3.57,0.157,44.7,3.62,0.0226,-31.6
000516.SZ,国际医学,2018/3/31,0.035,1.87,1.87,34.9,1.04,0.2,-2.04
000517.SZ,荣安地产,2018/3/31,-0.0129,1.31,-0.978,73.9,1.7,0.00642,-27
000518.SZ,四环生物,2018/3/31,0.0035,0.614,0.566,26.2,3.18,0.0928,-32.7
000519.SZ,中兵红箭,2018/3/31,0.0604,5.43,1.12,20.8,3.6,0.0944,-14
000520.SZ,长航凤凰,2018/3/31,0.0142,0.329,4.42,38.3,2.67,0.399,-8.11
000521.SZ,长虹美菱,2018/3/31,0.0539,4.88,1.11,68.7,1.28,0.26,-11.7
000523.SZ,*ST浪奇,2018/3/31,0.02,3.55,0.505,66.9,1.28,0.597,2.33
000524.SZ,岭南控股,2018/3/31,0.057,3.86,1.49,40,1.12,0.363,-7.77
000525.SZ,ST红太阳,2018/3/31,0.355,9.63,3.75,55.2,0.993,0.113,-22.3
000526.SZ,学大教育,2018/3/31,0.0313,0.754,4.2,98.3,0.464,0.194,0
000528.SZ,柳工,2018/3/31,0.257,8.28,3.14,60.1,1.38,0.194,22.1
000529.SZ,广弘控股,2018/3/31,0.04,2.39,1.86,26.5,2.65,0.168,-10.4
000530.SZ,冰山冷热,2018/3/31,0.03,3.98,0.75,35.6,1.31,0.0932,-28.4
000531.SZ,穗恒运A,2018/3/31,0.0112,5.71,0.196,56.6,0.635,0.0724,-26.2
000532.SZ,华金资本,2018/3/31,0.0124,2.16,0.572,65,0.497,0.0331,-31.7
000533.SZ,顺钠股份,2018/3/31,0.012,2.3,0.524,60.1,1.39,0.608,-61.7
000534.SZ,万泽股份,2018/3/31,0.0168,3.12,0.541,39.8,1.96,0.00104,-8.28
000536.SZ,华映科技,2018/3/31,-0.0514,4.44,-1.14,44.3,1.28,0.0529,-30.4
000537.SZ,广宇发展,2018/3/31,0.5,5.69,9.22,85.5,1.39,0.0608,-25.5
000538.SZ,云南白药,2018/3/31,0.77,18.1,4.37,33.7,3.41,0.225,8.04
000539.SZ,粤电力A,2018/3/31,0.001,4.51,0.0242,58.3,0.601,0.0819,-4.2
000540.SZ,中天金融,2018/3/31,0.149,3.57,4.26,81.6,1.1,0.0374,-1.46E-07
000541.SZ,佛山照明,2018/3/31,0.0759,3.83,2,16.2,4.13,0.195,-20.8
000543.SZ,皖能电力,2018/3/31,0.05,5.55,0.855,49,0.49,0.113,-8.5
000544.SZ,中原环保,2018/3/31,0.08,8.5,0.955,19.5,2.55,0.0373,-25.6
000545.SZ,金浦钛业,2018/3/31,0.033,2.06,1.61,25.4,2.05,0.182,-12.5
000546.SZ,金圆股份,2018/3/31,0.0081,4.76,0.17,50.8,0.989,0.167,-13.6
000547.SZ,航天发展,2018/3/31,0.06,3.83,1.47,22.6,2.54,0.0688,-26.7
000548.SZ,湖南投资,2018/3/31,0.006,3.3,0.19,20.7,2.21,0.0274,-29.3
000550.SZ,江铃汽车,2018/3/31,0.18,12.4,1.32,52.8,1.25,0.264,-18.8
000551.SZ,创元科技,2018/3/31,0.05,4.07,1.16,48.8,1.42,0.171,-20.2
000552.SZ,靖远煤电,2018/3/31,0.0815,3.12,2.66,28.2,1.93,0.121,-3.21
000553.SZ,安道麦A,2018/3/31,0.831,8.3,10.4,49,2.18,0.164,11.1
